nama_matkul,kode_matkul,sks
Pengantar TIK,31451122,2
Olimpisme,30051121,1
Matematika Diskrit,31451143,3
Pendidikan Agama Islam,52242,2
Pendidikan Kewarganegaraan,51112,2
Pengantar Teori Graph,31454113,3
Kalkulus Integral,31451063,3
Filsafat Matematika Dan Ilmu Pengetahuan Alam,30050022,2
Pengantar Sistem Digital,31451103,3
Aljabar Linier,31451043,3
Struktur Data dan Algoritma,31452033,3
Basis Data,31452043,3
Data Raya dan Pemrograman,00053192,2
Metode Numerik,31451093,3
Etika Profesi,31452072,2
Komputer Grafik,31453103,3
Interaksi Manusia,31451123,3
Perancangan dan Pemrograman Web,31452103,3
Desain dan Pemrograman Berorientasi Objek,31452113,3
Logika dan Penalaran Ilmiah,00053202,2
Desain dan Analisis Algoritma,31452123,3
Sistem Operasi,31452143,3
Rekayasa Perangkat Lunak,31452133,3
Organisasi Komputer,31453133,3
Teori Informasi,31454163,3
Pemrograman Deklaratif,31454103,3
Wawasan Pendidikan,00053182,2
Manajemen Proyek,31454032,2
Metode Penelitian,31453062,2
Kewirausahaan,31453143,3
Teori Bahasa dan Automata,31453162,2
Pengantar Kecerdasan Buatan,31452023,3
Data Mining,31453083,3
Mobile Computing,31454023,3
Komputer dan Masyarakat,31453012,2
Animasi Komputer,31450043,3
Science Technology Engineering Mathematics (STEM),31451023,3
Praktek Kerja Lapangan,30055024,4
Machine Learning,31450113,3
Metode Formal,31451233,3
Pengolahan Bahasa Manusia,31451203,3
Audit Sistem Informasi,31452323,3
Sistem Interaksi,31451243,3
Sistem Informasi Manajemen,KM-00853,3
Seminar Pra Skripsi,31454142,2
Cryptography dan Information Security,31453053,3
Jaringan Komputer,52350113,3
